Model,Acc,F1,Recall,Precision,Execution
RF,0.883,0.404,0.253,1.0,10.651
DT,0.99,0.969,0.981,0.957,53.679
NB,0.851,0.092,0.048,1.0,7.378
LDA,0.985,0.955,0.975,0.935,65.016
QDA,0.851,0.092,0.048,1.0,23.724
LR,0.989,0.966,0.973,0.959,177.562
ABoost,0.991,0.971,0.974,0.968,768.003
k-NN,0.995,0.985,0.984,0.985,26681.43
MLP,0.994,0.982,0.973,0.991,334.665
SVM,0.989,0.967,0.975,0.959,102.953
