Model,Acc,F1_mi,Recall_mi,Precision_mi,F1_ma,Recall_ma,Precision_ma,F1_we,Recall_we,Precision_we,Execution
RF,0.995,0.995,0.724,0.994,0.995,0.709,0.995,0.995,0.928,0.996,0.17
DT,0.996,0.996,0.768,0.995,0.996,0.759,0.996,0.996,0.927,0.997,0.33
NB,0.987,0.987,0.599,0.988,0.987,0.819,0.987,0.987,0.569,0.989,0.118
LDA,0.993,0.993,0.71,0.992,0.993,0.826,0.993,0.993,0.765,0.997,0.617
QDA,0.993,0.993,0.561,0.992,0.993,0.609,0.993,0.993,0.644,0.997,0.209
LR,0.996,0.996,0.644,0.995,0.996,0.671,0.996,0.996,0.734,0.996,13.005
ABoost,0.928,0.928,0.435,0.908,0.928,0.402,0.928,0.928,0.593,0.926,7.763
k-NN,0.996,0.996,0.792,0.996,0.996,0.775,0.996,0.996,0.82,0.996,52.716
MLP,0.996,0.996,0.647,0.995,0.996,0.672,0.996,0.996,0.732,0.996,8.428
SVM,0.996,0.996,0.793,0.995,0.996,0.789,0.996,0.996,0.93,0.997,3.021
