Model,Acc,F1_mi,Recall_mi,Precision_mi,F1_ma,Recall_ma,Precision_ma,F1_we,Recall_we,Precision_we,Execution
RF,0.787,0.787,0.53,0.743,0.787,0.512,0.787,0.787,0.62,0.769,0.205
DT,0.773,0.773,0.552,0.744,0.773,0.551,0.773,0.773,0.559,0.73,0.741
NB,0.209,0.209,0.437,0.193,0.209,0.677,0.209,0.209,0.576,0.728,0.085
LDA,0.777,0.777,0.602,0.748,0.777,0.62,0.777,0.777,0.641,0.759,0.379
QDA,0.395,0.395,0.48,0.469,0.395,0.625,0.395,0.395,0.589,0.876,0.174
LR,0.792,0.792,0.562,0.755,0.792,0.548,0.792,0.792,0.737,0.8,9.111
ABoost,0.605,0.605,0.21,0.467,0.605,0.228,0.605,0.605,0.208,0.383,10.582
k-NN,0.808,0.808,0.593,0.779,0.808,0.571,0.808,0.808,0.674,0.796,17.001
MLP,0.812,0.812,0.604,0.78,0.812,0.583,0.812,0.812,0.788,0.823,45.309
SVM,0.794,0.794,0.568,0.757,0.794,0.549,0.794,0.794,0.652,0.765,27.159
