Model,Acc,F1_mi,Recall_mi,Precision_mi,F1_ma,Recall_ma,Precision_ma,F1_we,Recall_we,Precision_we,Execution
RF,0.933,0.933,0.88,0.935,0.933,0.869,0.933,0.933,0.922,0.949,1.497
DT,0.936,0.936,0.887,0.939,0.936,0.877,0.936,0.936,0.925,0.95,6.366
NB,0.677,0.677,0.565,0.732,0.677,0.692,0.677,0.677,0.587,0.841,0.417
LDA,0.932,0.932,0.876,0.936,0.932,0.871,0.932,0.932,0.905,0.949,2.62
QDA,0.857,0.857,0.687,0.883,0.857,0.804,0.857,0.857,0.76,0.957,0.746
LR,0.939,0.939,0.886,0.941,0.939,0.878,0.939,0.939,0.919,0.953,34.149
ABoost,0.904,0.904,0.858,0.908,0.904,0.862,0.904,0.904,0.882,0.926,81.096
k-NN,0.941,0.941,0.898,0.943,0.941,0.89,0.941,0.941,0.922,0.95,616.734
MLP,0.945,0.945,0.899,0.947,0.945,0.894,0.945,0.945,0.927,0.958,142.007
SVM,0.938,0.938,0.884,0.941,0.938,0.876,0.938,0.938,0.918,0.952,165.377
