Model,Acc,F1_mi,Recall_mi,Precision_mi,F1_ma,Recall_ma,Precision_ma,F1_we,Recall_we,Precision_we,Execution
RF,0.923,0.923,0.608,0.899,0.923,0.575,0.923,0.923,0.829,0.91,0.028
DT,0.935,0.935,0.726,0.924,0.935,0.674,0.935,0.935,0.846,0.926,0.046
NB,0.823,0.823,0.691,0.858,0.823,0.9,0.823,0.823,0.662,0.942,0.009
LDA,0.897,0.897,0.769,0.912,0.897,0.894,0.897,0.897,0.719,0.942,0.075
QDA,0.876,0.876,0.751,0.897,0.876,0.923,0.876,0.876,0.702,0.947,0.02
LR,0.915,0.915,0.491,0.876,0.915,0.507,0.915,0.915,0.776,0.891,0.185
ABoost,0.934,0.934,0.725,0.924,0.934,0.675,0.934,0.934,0.841,0.925,1.193
k-NN,0.932,0.932,0.745,0.926,0.932,0.709,0.932,0.932,0.801,0.924,0.726
MLP,0.926,0.926,0.616,0.902,0.926,0.579,0.926,0.926,0.886,0.92,5.234
SVM,0.927,0.927,0.619,0.903,0.927,0.581,0.927,0.927,0.91,0.924,0.298
