Model,Acc,F1_mi,Recall_mi,Precision_mi,F1_ma,Recall_ma,Precision_ma,F1_we,Recall_we,Precision_we,Execution
RF,0.742,0.742,0.372,0.697,0.742,0.373,0.742,0.742,0.392,0.717,0.124
DT,0.83,0.83,0.611,0.811,0.83,0.605,0.83,0.83,0.717,0.821,0.546
NB,0.286,0.286,0.521,0.347,0.286,0.713,0.286,0.286,0.596,0.721,0.213
LDA,0.826,0.826,0.653,0.819,0.826,0.659,0.826,0.826,0.656,0.815,0.987
QDA,0.361,0.361,0.556,0.44,0.361,0.777,0.361,0.361,0.653,0.843,0.516
LR,0.862,0.862,0.622,0.841,0.862,0.616,0.862,0.862,0.713,0.841,11.54
ABoost,0.603,0.603,0.247,0.469,0.603,0.327,0.603,0.603,0.199,0.383,8.396
k-NN,0.865,0.865,0.699,0.858,0.865,0.673,0.865,0.865,0.772,0.854,56.84
MLP,0.879,0.879,0.688,0.862,0.879,0.668,0.879,0.879,0.886,0.871,63.742
SVM,0.86,0.86,0.629,0.838,0.86,0.628,0.86,0.86,0.718,0.841,8.629
