Model,Acc,F1_mi,Recall_mi,Precision_mi,F1_ma,Recall_ma,Precision_ma,F1_we,Recall_we,Precision_we,Execution
RF,0.989,0.989,0.425,0.986,0.989,0.403,0.989,0.989,0.46,0.984,0.163
DT,0.996,0.996,0.632,0.994,0.996,0.666,0.996,0.996,0.609,0.994,0.294
NB,0.995,0.995,0.819,0.994,0.995,0.846,0.995,0.995,0.834,0.995,0.359
LDA,0.994,0.994,0.69,0.994,0.994,0.85,0.994,0.994,0.7,0.995,2.095
QDA,0.993,0.993,0.497,0.992,0.993,0.547,0.993,0.993,0.621,0.996,0.742
LR,0.996,0.996,0.657,0.995,0.996,0.679,0.996,0.996,0.769,0.997,25.324
ABoost,0.995,0.995,0.628,0.994,0.995,0.667,0.995,0.995,0.605,0.993,9.906
k-NN,0.996,0.996,0.8,0.996,0.996,0.773,0.996,0.996,0.865,0.996,157.923
MLP,0.996,0.996,0.657,0.995,0.996,0.679,0.996,0.996,0.78,0.997,12.2
SVM,0.996,0.996,0.657,0.995,0.996,0.678,0.996,0.996,0.768,0.997,1.596
