Model,Acc,F1_mi,Recall_mi,Precision_mi,F1_ma,Recall_ma,Precision_ma,F1_we,Recall_we,Precision_we,Execution
RF,0.933,0.933,0.657,0.913,0.933,0.642,0.933,0.933,0.747,0.908,0.478
DT,0.983,0.983,0.913,0.983,0.983,0.917,0.983,0.983,0.927,0.986,1.906
NB,0.941,0.941,0.783,0.945,0.941,0.812,0.941,0.941,0.81,0.961,0.611
LDA,0.974,0.974,0.873,0.973,0.974,0.862,0.974,0.974,0.891,0.975,3.634
QDA,0.98,0.98,0.89,0.979,0.98,0.886,0.98,0.98,0.935,0.984,1.349
LR,0.994,0.994,0.967,0.994,0.994,0.967,0.994,0.994,0.969,0.994,42.732
ABoost,0.592,0.592,0.321,0.551,0.592,0.333,0.592,0.592,0.31,0.516,31.851
k-NN,0.996,0.996,0.981,0.996,0.996,0.981,0.996,0.996,0.982,0.997,1112.04
MLP,0.998,0.998,0.987,0.998,0.998,0.986,0.998,0.998,0.987,0.998,130.843
SVM,0.994,0.994,0.968,0.994,0.994,0.967,0.994,0.994,0.97,0.994,7.409
