feature,importance
protocol,0.00449462386
flow_duration,0.00754428849
tot_fwd_pkts,0.00749321143
tot_bwd_pkts,0.0336220542
tot_len_fwd_pkts,0.00234363
tot_len_bwd_pkts,0.00199712545
fwd_pkt_len_max,0.000559993195
fwd_pkt_len_min,0.00255821435
fwd_pkt_len_mean,0.00214774426
fwd_pkt_len_std,0.000301803477
bwd_pkt_len_max,0.00408033956
bwd_pkt_len_min,0.0103233867
bwd_pkt_len_mean,0.00147471425
bwd_pkt_len_std,0.00976713
flow_byts_s,0.00140650357
flow_pkts_s,0.00967022429
flow_iat_mean,0.00843539483
flow_iat_std,0.00499441142
flow_iat_max,0.00356078405
flow_iat_min,0.000167902528
fwd_iat_tot,0.00793027447
fwd_iat_mean,0.00494318084
fwd_iat_std,0.00258012143
fwd_iat_max,0.00218689289
fwd_iat_min,0.0107468953
bwd_iat_tot,0.0619295264
bwd_iat_mean,0.0377307469
bwd_iat_std,0.00660887898
bwd_iat_max,0.0714764329
bwd_iat_min,0.00452376876
fwd_psh_flags,2.40363759e-05
bwd_psh_flags,2.16636757e-05
fwd_urg_flags,4.02429071e-07
bwd_urg_flags,0.0
fwd_header_len,0.0413703387
bwd_header_len,0.00203583332
fwd_pkts_s,0.0109374687
bwd_pkts_s,0.0233088538
pkt_len_min,0.00494834462
pkt_len_max,0.00546705814
pkt_len_mean,0.000696710008
pkt_len_std,0.000995793331
pkt_len_var,0.00350668785
fin_flag_cnt,0.0744403478
syn_flag_cnt,0.00622776488
rst_flag_cnt,0.0
psh_flag_cnt,0.0168738133
ack_flag_cnt,0.00621645052
urg_flag_cnt,5.08530254e-06
cwe_flag_count,0.0
ece_flag_cnt,0.0
down_up_ratio,0.000120480463
pkt_size_avg,0.000739282478
fwd_seg_size_avg,0.000896189401
bwd_seg_size_avg,0.00190141674
fwd_byts_b_avg,0.171941346
fwd_pkts_b_avg,0.0
fwd_blk_rate_avg,0.0
bwd_byts_b_avg,0.0
bwd_pkts_b_avg,0.0
bwd_blk_rate_avg,0.0
subflow_fwd_pkts,0.00887987321
subflow_fwd_byts,0.000745091312
subflow_bwd_pkts,0.00944885951
subflow_bwd_byts,0.00176920873
init_fwd_win_byts,0.07579044
init_bwd_win_byts,0.0594105487
fwd_act_data_pkts,0.000314421083
fwd_seg_size_min,0.130340194
active_mean,0.00571676467
active_std,0.000301799754
active_max,0.000608087009
active_min,0.000544863125
idle_mean,0.00489855084
idle_std,0.000221737368
idle_max,1.33584708e-05
idle_min,0.000720635397
