feature,importance
state_FIN,0.007361187742497682
state_INT,0.007501376537771342
state_MAS,0.0
state_MHR,0.0
state_NNS,0.0
state_NRS,0.0
state_PAR,2.1902479542505465e-07
state_REQ,0.0002576619828196581
state_RSP,1.1670138923900685e-08
state_RST,0.006576730947583531
state_TST,0.0
state_TXD,0.0
state_URF,0.0
state_URFIL,0.0
state_URH,0.0
state_URHPRO,3.2809383040913485e-07
state_URN,0.0
state_URP,1.2016262048434508e-09
state_no,6.907124650139303e-08
service_-,0.003154846414279564
service_0,0.0016518457453139595
service_dhcp,8.39554088527686e-07
service_dns,0.000929535400089077
service_ftp,6.0400099729838745e-06
service_ftp-data,0.0002805492794186106
service_http,0.00027893982404023543
service_irc,2.363408104696163e-09
service_pop3,9.09670390395217e-06
service_radius,5.785274286439381e-08
service_smtp,1.5997642297599208e-06
service_snmp,0.0
service_ssh,5.9372787788135975e-05
service_ssl,0.000547954625688978
