Model,Acc,F1_mi,Recall_mi,Precision_mi,F1_ma,Recall_ma,Precision_ma,F1_we,Recall_we,Precision_we,Execution
DT,0.974,0.974,0.266,0.973,0.974,0.258,0.974,0.974,0.333,0.977,37.054
k-NN,0.989,0.989,0.678,0.989,0.989,0.654,0.989,0.989,0.764,0.99,2087.78
MLP,0.99,0.99,0.64,0.989,0.99,0.634,0.99,0.99,0.747,0.992,814.817
