,feature,importance
31,ct_srv_src,0.167179636892355
36,ct_dst_sport_ltm,0.13256742998435056
34,ct_src_ltm,0.12514004798393394
4,dttl,0.08051883889650437
35,ct_src_dport_ltm,0.07264511779092483
37,ct_dst_src_ltm,0.06944819828323569
33,ct_dst_ltm,0.0690835894342369
32,ct_srv_dst,0.06210851644242594
3,sttl,0.030767915957154033
6,dloss,0.01796819311675392
182,state_FIN,0.017574998551850463
16,dmeansz,0.016152639267908674
10,dpkts,0.015079496093202775
23,tcprtt,0.012966988596723988
7,sload,0.0123736380715743
5,sloss,0.012203991784454265
22,dintpkt,0.010571649220498861
21,sintpkt,0.008400726664267194
20,djit,0.005895899769048704
25,ackdat,0.005425473051907084
191,state_RST,0.005143162979623814
8,dload,0.004747923488727371
9,spkts,0.004683747171799267
2,dbytes,0.0045204808094769485
0,dur,0.0039120167116359185
15,smeansz,0.0035096837534055857
1,sbytes,0.0034583853551919375
214,service_ssl,0.0033543022397845954
183,state_INT,0.003069167084661769
156,proto_tcp,0.0028744537163046765
202,service_0,0.002570321151958469
27,ct_state_ttl,0.0023468508644808447
179,state_CON,0.002291397423474745
24,synack,0.002000031687630246
201,service_-,0.0019832523576776987
18,res_bdy_len,0.0011523487816326335
11,swin,0.001120146074504774
13,stcpb,0.0006362009239083902
28,ct_flw_http_mthd,0.0005537106908788605
17,trans_depth,0.0004067616553623882
162,proto_udp,0.0002903606420788477
44,proto_arp,0.0002094736425571317
211,service_smtp,0.00020869883865961845
207,service_http,0.00019177904607619028
204,service_dns,0.00016772051535869425
107,proto_llc,0.00013019559428424608
19,sjit,0.00012108416905698821
213,service_ssh,5.602093664291886e-05
206,service_ftp-data,4.955233220301531e-05
164,proto_unas,4.373658345537198e-05
189,state_REQ,4.349657614025293e-05
26,is_sm_ips_ports,1.8847243765524155e-05
29,is_ftp_login,1.3814883939451095e-05
14,dtcpb,1.1984186959610749e-05
30,ct_ftp_cmd,1.0741607584353729e-05
12,dwin,7.1990302213056614e-06
76,proto_icmp,4.224435241709989e-06
140,proto_sctp,3.428652804601506e-06
108,proto_lldp,3.164119155599622e-06
81,proto_igmp,2.6318955985715648e-06
120,proto_ospf,1.4271016696673765e-06
93,proto_ipv6-icmp,1.1341331442991462e-06
151,proto_st2,5.481358433580925e-07
167,proto_visa,5.192935781756128e-07
188,state_PAR,2.7742764402922454e-07
209,service_pop3,1.506617459628887e-07
181,state_ECR,5.7976341506932174e-08
133,proto_rtcp,5.796606639594308e-08
73,proto_i-nlsp,5.668392182391517e-08
210,service_radius,5.6228331347289625e-08
177,state_ACC,5.077478938990414e-08
190,state_RSP,4.745735354799637e-08
200,state_no,4.6242982211282866e-08
199,state_URP,4.602019362872637e-08
186,state_NNS,1.0688980265124467e-08
71,proto_gre,1.0162949055293235e-08
205,service_ftp,9.15527122619608e-09
143,proto_sep,8.021750421849655e-09
52,proto_compaq-peer,8.022805595494626e-11
85,proto_ipcomp,7.99729980171332e-11
178,state_CLO,1.807020381513518e-14
163,proto_udt,8.352543419597754e-15
159,proto_trunk-1,0.0
160,proto_trunk-2,0.0
43,proto_aris,0.0
158,proto_tp++,0.0
155,proto_tcf,0.0
161,proto_ttp,0.0
42,proto_argus,0.0
157,proto_tlsp,0.0
154,proto_swipe,0.0
149,proto_sps,0.0
153,proto_sun-nd,0.0
152,proto_stp,0.0
150,proto_srp,0.0
148,proto_sprite-rpc,0.0
147,proto_snp,0.0
146,proto_smp,0.0
145,proto_sm,0.0
144,proto_skip,0.0
142,proto_secure-vmtp,0.0
141,proto_sdrp,0.0
139,proto_scps,0.0
138,proto_sccopmce,0.0
46,proto_bbn-rcc,0.0
176,proto_zero,0.0
165,proto_uti,0.0
166,proto_vines,0.0
212,service_snmp,0.0
208,service_irc,0.0
203,service_dhcp,0.0
38,proto_3pc,0.0
198,state_URN,0.0
197,state_URHPRO,0.0
196,state_URH,0.0
195,state_URFIL,0.0
194,state_URF,0.0
193,state_TXD,0.0
192,state_TST,0.0
39,proto_a/n,0.0
187,state_NRS,0.0
185,state_MHR,0.0
184,state_MAS,0.0
40,proto_aes-sp3-d,0.0
180,state_ECO,0.0
41,proto_any,0.0
136,proto_sat-expak,0.0
175,proto_xtp,0.0
174,proto_xns-idp,0.0
