,feature,importance
36,ct_dst_sport_ltm,0.11758018973521718
33,ct_dst_ltm,0.11073489636060109
32,ct_srv_dst,0.10823424817864527
35,ct_src_dport_ltm,0.10251286639682293
31,ct_srv_src,0.08816197332113006
37,ct_dst_src_ltm,0.08796994952549556
4,dttl,0.06690660887859352
34,ct_src_ltm,0.06615153749191324
3,sttl,0.0519200121565992
6,dloss,0.022434046595576185
25,ackdat,0.021179666615214025
7,sload,0.019121781240024234
5,sloss,0.017346957668512346
21,sintpkt,0.013588175438864774
10,dpkts,0.009115437581689798
8,dload,0.00860739953296623
2,dbytes,0.008507277174749401
24,synack,0.008461362471551348
0,dur,0.008048376266824224
22,dintpkt,0.007386654792697007
182,state_FIN,0.006075711643928848
179,state_CON,0.005467112668617855
16,dmeansz,0.005355297659709579
1,sbytes,0.005123578624547551
201,service_-,0.004970589525885631
23,tcprtt,0.004730453782427852
9,spkts,0.003599568809403405
15,smeansz,0.0031535937438478645
214,service_ssl,0.0024205672753485775
28,ct_flw_http_mthd,0.0021768208636478
14,dtcpb,0.002029214358646068
162,proto_udp,0.0012465613398769883
202,service_0,0.001209629389221693
156,proto_tcp,0.0011744362467261712
11,swin,0.001098822872061073
13,stcpb,0.0010435503227318042
183,state_INT,0.0009450306720476598
19,sjit,0.0009232157846744768
204,service_dns,0.0009226027317441391
191,state_RST,0.000561016780146975
20,djit,0.0005019552674290718
27,ct_state_ttl,0.000267987099651062
189,state_REQ,0.00025904513273021425
44,proto_arp,0.0002508994588101853
107,proto_llc,0.00020545184480574532
12,dwin,0.00011181040979562373
29,is_ftp_login,8.04132590875352e-05
206,service_ftp-data,6.0988747002641485e-05
120,proto_ospf,3.0225359897997474e-05
205,service_ftp,2.316053887904625e-05
17,trans_depth,3.294956042772711e-06
18,res_bdy_len,1.9992976090962413e-06
213,service_ssh,1.639707380787474e-06
30,ct_ftp_cmd,1.1369266720177196e-06
26,is_sm_ips_ports,9.78671803310646e-07
76,proto_icmp,8.575644220107405e-07
93,proto_ipv6-icmp,3.031206984315572e-07
180,state_ECO,2.892050725991202e-07
207,service_http,2.755478382118533e-07
211,service_smtp,2.2565128731103632e-07
186,state_NNS,1.2651553862349895e-07
192,state_TST,4.072159887379079e-08
209,service_pop3,4.008198081417699e-08
181,state_ECR,3.0055871128868046e-08
133,proto_rtcp,2.113669897304687e-08
163,proto_udt,1.1147879623860536e-08
190,state_RSP,5.457397165764501e-11
178,state_CLO,1.2788367109416624e-14
155,proto_tcf,0.0
153,proto_sun-nd,0.0
154,proto_swipe,0.0
47,proto_bna,0.0
45,proto_ax.25,0.0
157,proto_tlsp,0.0
158,proto_tp++,0.0
152,proto_stp,0.0
160,proto_trunk-2,0.0
161,proto_ttp,0.0
43,proto_aris,0.0
159,proto_trunk-1,0.0
146,proto_smp,0.0
151,proto_st2,0.0
150,proto_srp,0.0
135,proto_rvd,0.0
136,proto_sat-expak,0.0
137,proto_sat-mon,0.0
138,proto_sccopmce,0.0
139,proto_scps,0.0
140,proto_sctp,0.0
141,proto_sdrp,0.0
142,proto_secure-vmtp,0.0
143,proto_sep,0.0
144,proto_skip,0.0
145,proto_sm,0.0
165,proto_uti,0.0
147,proto_snp,0.0
148,proto_sprite-rpc,0.0
149,proto_sps,0.0
164,proto_unas,0.0
173,proto_xnet,0.0
166,proto_vines,0.0
188,state_PAR,0.0
212,service_snmp,0.0
210,service_radius,0.0
208,service_irc,0.0
203,service_dhcp,0.0
200,state_no,0.0
199,state_URP,0.0
198,state_URN,0.0
197,state_URHPRO,0.0
196,state_URH,0.0
195,state_URFIL,0.0
194,state_URF,0.0
193,state_TXD,0.0
38,proto_3pc,0.0
39,proto_a/n,0.0
187,state_NRS,0.0
167,proto_visa,0.0
185,state_MHR,0.0
184,state_MAS,0.0
40,proto_aes-sp3-d,0.0
41,proto_any,0.0
42,proto_argus,0.0
177,state_ACC,0.0
176,proto_zero,0.0
175,proto_xtp,0.0
174,proto_xns-idp,0.0
172,proto_wsn,0.0
171,proto_wb-mon,0.0
170,proto_wb-expak,0.0
169,proto_vrrp,0.0
168,proto_vmtp,0.0
134,proto_rtp,0.0
131,proto_rdp,0.0
132,proto_rsvp,0.0
88,proto_iplt,0.0
69,proto_ggp,0.0
70,proto_gmtp,0.0
71,proto_gre,0.0
72,proto_hmp,0.0
73,proto_i-nlsp,0.0
74,proto_iatp,0.0
75,proto_ib,0.0
77,proto_idpr,0.0
78,proto_idpr-cmtp,0.0
79,proto_idrp,0.0
80,proto_ifmp,0.0
81,proto_igmp,0.0
82,proto_igp,0.0
83,proto_il,0.0
84,proto_ip,0.0
85,proto_ipcomp,0.0
86,proto_ipcv,0.0
68,proto_fire,0.0
67,proto_fc,0.0
66,proto_etherip,0.0
56,proto_crudp,0.0
49,proto_cbt,0.0
50,proto_cftp,0.0
51,proto_chaos,0.0
52,proto_compaq-peer,0.0
53,proto_cphb,0.0
54,proto_cpnx,0.0
55,proto_crtp,0.0
57,proto_dcn,0.0
65,proto_esp,0.0
58,proto_ddp,0.0
59,proto_ddx,0.0
60,proto_dgp,0.0
61,proto_egp,0.0
62,proto_eigrp,0.0
63,proto_emcon,0.0
64,proto_encap,0.0
87,proto_ipip,0.0
89,proto_ipnip,0.0
48,proto_br-sat-mon,0.0
90,proto_ippc,0.0
112,proto_micp,0.0
113,proto_mobile,0.0
114,proto_mtp,0.0
115,proto_mux,0.0
116,proto_narp,0.0
117,proto_netblt,0.0
118,proto_nsfnet-igp,0.0
119,proto_nvp,0.0
121,proto_pgm,0.0
123,proto_pipe,0.0
124,proto_pnni,0.0
125,proto_pri-enc,0.0
126,proto_prm,0.0
127,proto_ptp,0.0
128,proto_pup,0.0
129,proto_pvp,0.0
130,proto_qnx,0.0
111,proto_mhrp,0.0
110,proto_mfe-nsp,0.0
109,proto_merit-inp,0.0
99,proto_isis,0.0
91,proto_ipv6,0.0
92,proto_ipv6-frag,0.0
94,proto_ipv6-no,0.0
95,proto_ipv6-opts,0.0
96,proto_ipv6-route,0.0
97,proto_ipx-n-ip,0.0
98,proto_irtp,0.0
100,proto_iso-ip,0.0
108,proto_lldp,0.0
101,proto_iso-tp4,0.0
102,proto_kryptolan,0.0
103,proto_l2tp,0.0
104,proto_larp,0.0
105,proto_leaf-1,0.0
106,proto_leaf-2,0.0
46,proto_bbn-rcc,0.0
122,proto_pim,0.0
