,feature,importance
68,fwd_seg_size_min,0.18277468489392018
55,fwd_byts_b_avg,0.17098979522526533
65,init_fwd_win_byts,0.0714538648813043
26,bwd_iat_mean,0.071199366541635
43,fin_flag_cnt,0.04962501806345599
66,init_bwd_win_byts,0.048927334216234665
25,bwd_iat_tot,0.03273985467651442
28,bwd_iat_max,0.03170529530716143
34,fwd_header_len,0.03138699881033011
47,ack_flag_cnt,0.025133675904979665
3,tot_bwd_pkts,0.024853134660541242
36,fwd_pkts_s,0.02063759208637661
16,flow_iat_mean,0.020497107033058543
63,subflow_bwd_pkts,0.014498422326680492
13,bwd_pkt_len_std,0.013206914670517145
37,bwd_pkts_s,0.013068797834623093
46,psh_flag_cnt,0.012891317356375498
61,subflow_fwd_pkts,0.01249412777389166
17,flow_iat_std,0.012314338124475044
18,flow_iat_max,0.009858990259323928
29,bwd_iat_min,0.007776873982952412
27,bwd_iat_std,0.007079097284421441
7,fwd_pkt_len_min,0.006881410170667151
0,protocol,0.006801038853884519
44,syn_flag_cnt,0.00664840454550784
2,tot_fwd_pkts,0.006216026501508116
11,bwd_pkt_len_min,0.005794762183292357
15,flow_pkts_s,0.005617946148585576
35,bwd_header_len,0.004756479133165322
24,fwd_iat_min,0.004694708717282609
62,subflow_fwd_byts,0.004111324353587855
10,bwd_pkt_len_max,0.004072422419410706
12,bwd_pkt_len_mean,0.003941499110015061
22,fwd_iat_std,0.0035910278675144913
21,fwd_iat_mean,0.0035909882499590377
51,down_up_ratio,0.0031008419631651015
72,active_min,0.0029119320438653336
73,idle_mean,0.002659028179162288
69,active_mean,0.0025524028906615454
52,pkt_size_avg,0.0025396599683505773
38,pkt_len_min,0.0025121753224891744
39,pkt_len_max,0.0024007175524160965
53,fwd_seg_size_avg,0.002352854621807636
76,idle_min,0.0023267705345627553
41,pkt_len_std,0.002120792179248312
5,tot_len_bwd_pkts,0.0020961327926232033
8,fwd_pkt_len_mean,0.0020616792618636786
4,tot_len_fwd_pkts,0.0019905375194113235
42,pkt_len_var,0.001977980536467951
23,fwd_iat_max,0.0018148142684998173
40,pkt_len_mean,0.0016763148253704965
54,bwd_seg_size_avg,0.0016297902442428713
20,fwd_iat_tot,0.0015724519865320894
1,flow_duration,0.0013646875244292924
48,urg_flag_cnt,0.0012466477831193574
75,idle_max,0.0012364206243363144
64,subflow_bwd_byts,0.00120541644549552
67,fwd_act_data_pkts,0.0009218602687807389
71,active_max,0.0006673501016437477
70,active_std,0.00031763093377545204
19,flow_iat_min,0.00022819784143339336
74,idle_std,0.00022098081278303056
6,fwd_pkt_len_max,0.00018892703017169249
14,flow_byts_s,0.00016816194355497998
9,fwd_pkt_len_std,7.528025439585247e-05
30,fwd_psh_flags,1.6941446686411495e-05
31,bwd_psh_flags,1.398013023520757e-05
45,rst_flag_cnt,0.0
60,bwd_blk_rate_avg,0.0
58,bwd_byts_b_avg,0.0
57,fwd_blk_rate_avg,0.0
56,fwd_pkts_b_avg,0.0
32,fwd_urg_flags,0.0
50,ece_flag_cnt,0.0
49,cwe_flag_count,0.0
33,bwd_urg_flags,0.0
59,bwd_pkts_b_avg,0.0
