name,acc,f1_mi,f1_ma,f1_we,recall_mi,recall_ma,recall_we,precision_mi,precision_ma,precision_we
RF,0.9531017473261598,0.9531017473261598,0.4067373195489277,0.947781573471819,0.9531017473261598,0.3991409033727163,0.9531017473261598,0.9531017473261598,0.4166742113606772,0.9460582865338634
CART,0.96991978093132,0.96991978093132,0.512077097067673,0.9660345116530735,0.96991978093132,0.5629781570667648,0.96991978093132,0.96991978093132,0.48519240148534476,0.9624046334326705
NB,0.7156805021766242,0.7156805021766243,0.47965381111271144,0.7806124078380259,0.7156805021766242,0.8143615337086125,0.7156805021766242,0.7156805021766242,0.5376146500345634,0.9061538693860438
LDA,0.9561939907557221,0.9561939907557221,0.5577511828648041,0.9613057652758963,0.9561939907557221,0.8524413395744093,0.9561939907557221,0.9561939907557221,0.5233663185299273,0.9675439099354574
QDA,0.8771308431578898,0.8771308431578898,0.43860021707419783,0.8467459296689342,0.8771308431578898,0.6845864658265132,0.8771308431578898,0.8771308431578898,0.37691889532828415,0.8217939557203459
LR,0.985717884169908,0.985717884169908,0.7450685229602577,0.9855452601156263,0.985717884169908,0.7138856390687922,0.985717884169908,0.985717884169908,0.7888506705576627,0.9856785909901389
ABoost,0.8524238027021973,0.8524238027021973,0.240408416855683,0.8108187954074486,0.8524238027021973,0.23329961768014038,0.8524238027021973,0.8524238027021973,0.26073632764589016,0.7938071598690971
KNN,0.9993154103751644,0.9993154103751644,0.9585736222101032,0.9993151044809395,0.9993154103751644,0.9381295395355644,0.9993154103751644,0.9993154103751644,0.9885976058076841,0.9993156741323176
MLP,0.9980173171813451,0.9980173171813451,0.9125615926151065,0.9979606179547268,0.9980173171813451,0.8642893107375803,0.9980173171813451,0.9980173171813451,0.9821901389970258,0.9979896584950607
