Attack,Acc,F1,Recall,Precision,FPR
Analysis,0.9965,,0.0,,0.0
Backdoor,0.997,,0.0,,0.0
Bot,0.9984,,0.0,,0.0
DDoS,0.8759,,0.0,,0.0
DoS,0.9789,0.0053,0.0026,0.6842,0.0
DoS GoldenEye,0.9887,,0.0,,0.0
DoS Slowhttptest,0.6233,0.5249,1.0,0.3559,0.4758
DoS slowloris,0.9886,,0.0,,0.0
Dos Hulk,0.9888,,0.0,,0.0
Exploits,0.9141,0.571,0.9937,0.4006,0.0908
FTP-Patator,0.9948,,0.0,,0.0
Fuzzers,0.9687,,0.0,,0.0
Generic,0.9917,0.9849,0.9741,0.996,0.0015
Heartbleed,1.0,0.9091,0.8333,1.0,0.0
Infiltration,0.9999,,0.0,,0.0
PortScan,0.7946,,0.0,,0.0
Reconnaissance,0.9819,,0.0,,0.0
SSH-Patator,0.9961,,0.0,,0.0
Shellcode,0.998,,0.0,,0.0
Web Attack – Brute Force,0.9982,,0.0,,0.0
Web Attack – Sql Injection,1.0,,0.0,,0.0
Web Attack – XSS,0.9992,,0.0,,0.0
Worms,0.9998,,0.0,,0.0
