Model,Acc,F1_mi,Recall_mi,Precision_mi,F1_ma,Recall_ma,Precision_ma,F1_we,Recall_we,Precision_we,Execution
RF,0.871,0.871,0.404,0.846,0.871,0.381,0.871,0.871,0.527,0.87,2.145
DT,0.861,0.861,0.325,0.831,0.861,0.299,0.861,0.861,0.437,0.829,8.356
NB,0.586,0.586,0.377,0.635,0.586,0.585,0.586,0.586,0.458,0.874,2.323
LDA,0.861,0.861,0.569,0.865,0.861,0.64,0.861,0.861,0.605,0.909,6.276
QDA,0.827,0.827,0.477,0.833,0.827,0.568,0.827,0.827,0.562,0.933,4.762
LR,0.907,0.907,0.556,0.891,0.907,0.554,0.907,0.907,0.613,0.918,69.115
ABoost,0.638,0.638,0.151,0.518,0.638,0.178,0.638,0.638,0.145,0.458,140.976
k-NN,0.903,0.903,0.668,0.9,0.903,0.652,0.903,0.903,0.765,0.899,30.607
MLP,0.916,0.916,0.624,0.902,0.916,0.622,0.916,0.916,0.757,0.929,518.721
SVM,0.909,0.909,0.616,0.893,0.909,0.619,0.909,0.909,0.664,0.897,302.743
